,display_name,name,start_date,end_date,type
000679.XSHE,大连友谊,DLYY,1997-01-24,2200-01-01,stock
000680.XSHE,山推股份,STGF,1997-01-22,2200-01-01,stock
000681.XSHE,视觉中国,SJZG,1997-01-21,2200-01-01,stock
000682.XSHE,东方电子,DFDZ,1997-01-21,2200-01-01,stock
000683.XSHE,远兴能源,YXNY,1997-01-31,2200-01-01,stock
000685.XSHE,中山公用,ZSGY,1997-01-23,2200-01-01,stock
000686.XSHE,东北证券,DBZQ,1997-02-27,2200-01-01,stock
000687.XSHE,华讯方舟,HXFZ,1997-02-21,2200-01-01,stock
000688.XSHE,国城矿业,GCKY,1997-01-20,2200-01-01,stock
000690.XSHE,宝新能源,BXNY,1997-01-28,2200-01-01,stock
000691.XSHE,亚太实业,YTSY,1997-02-28,2200-01-01,stock
000692.XSHE,惠天热电,HTRD,1997-02-27,2200-01-01,stock
000693.XSHE,华泽退,HZT,1997-02-26,2019-07-08,stock
000695.XSHE,滨海能源,BHNY,1997-02-18,2200-01-01,stock
000697.XSHE,炼石航空,LSHK,1997-03-25,2200-01-01,stock
000698.XSHE,沈阳化工,SYHG,1997-02-20,2200-01-01,stock
000699.XSHE,S*ST佳纸,S*STJZ,1997-03-10,2007-04-04,stock
000700.XSHE,模塑科技,MSKJ,1997-02-28,2200-01-01,stock
000701.XSHE,厦门信达,SMXD,1997-02-26,2200-01-01,stock
000702.XSHE,正虹科技,ZHKJ,1997-03-18,2200-01-01,stock
000703.XSHE,恒逸石化,HYSH,1997-03-28,2200-01-01,stock
000705.XSHE,浙江震元,ZJZY,1997-04-10,2200-01-01,stock
000707.XSHE,ST双环,STSH,1997-04-15,2200-01-01,stock
000708.XSHE,中信特钢,ZXTG,1997-03-26,2200-01-01,stock
000709.XSHE,河钢股份,HGGF,1997-04-16,2200-01-01,stock
000710.XSHE,贝瑞基因,BRJY,1997-04-22,2200-01-01,stock
000711.XSHE,京蓝科技,JLKJ,1997-04-11,2200-01-01,stock
000712.XSHE,锦龙股份,JLGF,1997-04-15,2200-01-01,stock
000713.XSHE,丰乐种业,FLZY,1997-04-22,2200-01-01,stock
000715.XSHE,中兴商业,ZXSY,1997-05-08,2200-01-01,stock
000716.XSHE,黑芝麻,HZM,1997-04-18,2200-01-01,stock
000717.XSHE,韶钢松山,SGSS,1997-05-08,2200-01-01,stock
000718.XSHE,苏宁环球,SNHQ,1997-04-08,2200-01-01,stock
000719.XSHE,中原传媒,ZYCM,1997-03-31,2200-01-01,stock
000720.XSHE,新能泰山,XNTS,1997-05-09,2200-01-01,stock
000721.XSHE,西安饮食,XAYS,1997-04-30,2200-01-01,stock
000722.XSHE,湖南发展,HNFZ,1997-05-22,2200-01-01,stock
000723.XSHE,美锦能源,MJNY,1997-05-15,2200-01-01,stock
000725.XSHE,京东方A,JDFA,2001-01-12,2200-01-01,stock
000726.XSHE,鲁泰A,LTA,2000-12-25,2200-01-01,stock
000727.XSHE,华东科技,HDKJ,1997-05-20,2200-01-01,stock
000728.XSHE,国元证券,GYZQ,1997-06-16,2200-01-01,stock
000729.XSHE,燕京啤酒,YJPJ,1997-07-16,2200-01-01,stock
000731.XSHE,四川美丰,SCMF,1997-06-17,2200-01-01,stock
000732.XSHE,泰禾集团,THJT,1997-07-04,2200-01-01,stock
000733.XSHE,振华科技,ZHKJ,1997-07-03,2200-01-01,stock
000735.XSHE,罗牛山,LNS,1997-06-11,2200-01-01,stock
000736.XSHE,中交地产,ZJDC,1997-04-25,2200-01-01,stock
000737.XSHE,ST南风,STNF,1997-04-28,2200-01-01,stock
000738.XSHE,航发控制,HFKZ,1997-06-26,2200-01-01,stock
000739.XSHE,普洛药业,PLYY,1997-05-09,2200-01-01,stock
000748.XSHE,长城信息,CCXX,1997-07-04,2017-01-17,stock
000750.XSHE,国海证券,GHZQ,1997-07-09,2200-01-01,stock
000751.XSHE,锌业股份,XYGF,1997-06-26,2200-01-01,stock
000752.XSHE,*ST西发,*STXF,1997-06-25,2200-01-01,stock
000753.XSHE,漳州发展,ZZFZ,1997-06-26,2200-01-01,stock
000755.XSHE,山西路桥,SXLQ,1997-06-27,2200-01-01,stock
000756.XSHE,新华制药,XHZY,1997-08-06,2200-01-01,stock
000757.XSHE,浩物股份,HWGF,1997-06-27,2200-01-01,stock
000758.XSHE,中色股份,ZSGF,1997-04-16,2200-01-01,stock
000759.XSHE,中百集团,ZBJT,1997-05-19,2200-01-01,stock
000760.XSHE,*ST斯太,*STST,1997-06-27,2200-01-01,stock
000761.XSHE,本钢板材,BGBC,1998-01-15,2200-01-01,stock
000762.XSHE,西藏矿业,XCKY,1997-07-08,2200-01-01,stock
